EntryID,LemmaID,LexicalClass
1_dollar,1_dollar,Noun
5_dollars,5_dollars,Noun
8_hour,8_hour,Number
9_oclock,9_oclock,Number
about_1,about,Minor
about_2,about,Minor
accident,accident,Verb
accomplish,accomplish,Verb
accountant,accountant,Noun
act,act,Verb
action,action,Noun
actor,actor,Noun
address,address,Noun
adult,adult,Noun
africa,africa,Noun
after,after,Minor
age,age,Noun
agreement,agreement,Noun
airplane,airplane,Noun
alarm,alarm,Noun
all,all,Minor
alone,alone,Adjective
alphabet,alphabet,Noun
amazing,amazing,Adjective
america,america,Name
and,and,Minor
angel,angel,Noun
angry,angry,Adjective
animal,animal,Noun
announce,announce,Verb
appear,appear,Verb
apple,apple,Noun
appointment,appointment,Noun
arm,arm,Noun
army,army,Noun
arrive,arrive,Verb
art,art,Noun
asia,asia,Noun
ask,ask,Verb
attention,attention,Noun
awkward,awkward,Noun
baby,baby,Noun
back,back,Adverb
bacon,bacon,Noun
bad,bad,Adjective
bag,bag,Noun
bake_1,bake_1,Verb
bake_2,bake_2,Verb
balance,balance,Noun
ball,ball,Noun
balloon,balloon,Noun
banana,banana,Noun
bank,bank,Noun
bar,bar,Noun
baseball,baseball,Noun
basement,basement,Noun
basketball,basketball,Noun
bath,bath,Noun
bathroom,bathroom,Noun
battery,battery,Noun
bear,bear,Noun
beard,beard,Noun
beat,beat,Verb
because,because,Minor
bed,bed,Noun
bedroom,bedroom,Noun
beer,beer,Noun
behavior,behavior,Noun
behind,behind,Minor
believe,believe,Verb
belt,belt,Noun
benefit,benefit,Noun
bicycle,bicycle,Noun
binoculars,binoculars,Noun
biology,biology,Noun
bird,bird,Noun
birth,birth,Noun
birthday,birthday,Noun
black,black,Adjective
blanket,blanket,Noun
blind,blind,Adjective
blinds_1,blinds_1,Noun
blinds_2,blinds_2,Noun
blood,blood,Noun
blue,blue,Adjective
boat,boat,Noun
body,body,Noun
bone,bone,Noun
book,book,Noun
boots,boots,Noun
bored,bored,Adjective
borrow,borrow,Verb
boss,boss,Noun
bottle,bottle,Noun
bowl,bowl,Noun
bowling,bowling,Noun
bowtie,bowtie,Noun
box,box,Noun
boy,boy,Noun
bra,bra,Noun
bracelet,bracelet,Noun
brag,brag,Verb
brave,brave,Adjective
bread,bread,Noun
break,break,Verb
breakdown,breakdown,Verb
breathe,breathe,Verb
bridesmaid,bridesmaid,Noun
bridge,bridge,Noun
brother,brother,Noun
brown,brown,Adjective
brush,brush,Noun
bug,bug,Noun
building,building,Noun
business,business,Noun
but,but,Minor
butter,butter,Noun
butterfly,butterfly,Noun
buy,buy,Verb
cabbage,lettuce,Noun
cabinet,cabinet,Noun
cafeteria,cafeteria,Noun
cake,cake,Noun
calendar,calendar,Noun
call,call,Verb
call_attention,call_attention,Verb
call_tty,call_tty,Verb
camera,camera,Noun
camping,camping,Noun
can,can,Verb
canada,canada,Name
cancellation,cancellation,Noun
candle,candle,Noun
candy_1,candy_1,Noun
candy_2,candy_2,Noun
canoe,canoe,Noun
caption,caption,Noun
car,car,Noun
careful,careful,Adjective
carrot,carrot,Noun
castle,castle,Noun
cat,cat,Noun
catholic,catholic,Adjective
cause,cause,Verb
center,center,Noun
cereal,cereal,Noun
certificate,certificate,Noun
chair,chair,Noun
challenge,challenge,Noun
chance,chance,Noun
channel,channel,Noun
character,character,Noun
chat,chat,Verb
cheat_1,cheat_1,Verb
cheat_2,cheat_2,Verb
check,check,Verb
cheese,cheese,Noun
cherry,cherry,Noun
chicago,chicago,Name
children,children,Noun
china,china,Name
chocolate,chocolate,Noun
church,church,Noun
cigar,cigar,Noun
cigarette,cigarette,Noun
city,city,Noun
class,class,Noun
clear,clear,Adjective
clock,clock,Noun
cloud_1,cloud,Noun
cloud_2,cloud,Noun
clown,clown,Noun
cocacola,cocacola,Name
coconut,coconut,Noun
coffee,coffee,Noun
coins,coins,Noun
cold,cold,Adjective
college,college,Noun
color,color,Noun
comb,comb,Verb
come,come,Verb
communication,communication,Noun
complex,complex,Adjective
computer,computer,Noun
computer_mouse,computer_mouse,Noun
concept,concept,Noun
confident,confident,Adjective
congratulations,congratulations,Minor
contact,contact,Noun
continue,continue,Verb
cook,cook,Verb
cookie,cookie,Noun
copy,copy,Verb
corkscrew,corkscrew,Noun
corn_1,corn_1,Noun
corn_2,corn_2,Noun
cough,cough,Noun
counselor,counselor,Noun
country,country,Noun
cousin,cousin,Noun
cover_up,cover_up,Verb
cow,cow,Noun
cracker,cracker,Noun
crawl,crawl,Verb
crazy,crazy,Adjective
create,create,Verb
credit_card,credit_card,Noun
crocodile,crocodile,Noun
cross,cross,Noun
cry,cry,Verb
cup,cup,Noun
curtain,curtain,Noun
cute_1,cute_1,Adjective
cute_2,cute_2,Adjective
dance,dance,Noun
dancer,dancer,Noun
dart,dart,Noun
day,day,Noun
death,death,Noun
decide_1,decide,Verb
decide_2,decide,Verb
deep,deep,Adjective
deer,deer,Noun
delicious,delicious,Adjective
demand,demand,Noun
dentist,dentist,Noun
deny,deny,Verb
deodorant,deodorant,Noun
department,department,Noun
desert,desert,Noun
devil,devil,Noun
diamond,diamond,Noun
diaper,diaper,Noun
dice,dice,Verb
die,die,Verb
dinosaur,dinosaur,Noun
dirty,dirty,Adjective
disagreement,disagreement,Noun
disappear,disappear,Verb
disney,disney,Name
dive,dive,Verb
divorce,divorce,Noun
doctor,doctor,Noun
dog,dog,Noun
doll,doll,Noun
